Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
Avatar;Dec;18;2009;425;760.507.625;2.783.918.982
Titanic;Dec;19;1997;200;659.363.944;2.208.208.395
Star Wars Ep. VII: The Force Awakens;Dec;18;2015;306;936.662.225;2.058.662.225
Jurassic World;Jun;12;2015;215;652.270.625;1.671.713.208
The Avengers;May;4;2012;225;623.279.547;1.519.479.547
Furious 7;Apr;3;2015;190;35.300.702;1.518.722.794
Avengers: Age of Ultron;May;1;2015;330.6;459.005.868;1.408.218.722
Harry Potter and the Deathly Hallows: Part II;Jul;15;2011;125;381.011.219;1.341.511.219
Star Wars Ep. VIII: The Last Jedi;Dec;15;2017;200;619.277.731;1.331.243.897
Frozen;Nov;22;2013;150;400.738.009;127.423.498
Beauty and the Beast;Mar;17;2017;160;504.014.165;1.263.109.573
The Fate of the Furious;Apr;14;2017;250;225.764.765;1.237.466.026
Iron Man 3;May;3;201;200;408.992.272;1.215.392.272
Minions;Jul;10;2015;74;33.604.577;1.167.245.366
Captain America: Civil War;May;6;2016;250;408.084.349;1.153.304.495
The Lord of the Rings: The Return of the King;Dec;17;2003;94;377.845.905;1.141.403.341
Transformers: Dark of the Moon;Jun;29;2011;195;352.390.543;1.123.790.543
Skyfall;Nov;8;2012;200;304.360.277;1.110.526.981
Transformers: Age of Extinction;Jun;27;2014;210;245.439.076;1.104.039.076
The Dark Knight Rises;Jul;20;2012;275;448.139.099;1.084.439.099
Toy Story 3;Jun;18;2010;200;41.500.488;1.069.666.004
Pirates of the Caribbean: Dead Man’s Chest;Jul;7;2006;225;423.315.812;1.066.215.812
Rogue One: A Star Wars Story;Dec;16;2016;200;532.177.324;1.050.988.488
Pirates of the Caribbean: On Stranger Tides;May;20;2011;410.6;241.063.875;1.045.663.875
Jurassic Park;Jun;11;1993;63;395.708.305;1.038.812.584
Despicable Me 3;Jun;30;2017;75;2.646.243;1.034.542.646
Star Wars Ep. I: The Phantom Menace;May;19;1999;115;474.544.677;1.027.044.677
Alice in Wonderland;Mar;5;2010;200;33.419.111;102.549.111
Finding Dory;Jun;17;2016;200;486.295.561;1.022.617.376
Zootopia;Mar;4;2016;150;341.268.248;1.019.920.974
The Hobbit: An Unexpected Journey;Dec;14;2012;250;303.003.568;1.017.003.568
The Dark Knight;Jul;18;2008;185;533.345.358;1.001.620.618
The Lion King;Jun;15;1994;79.3;42.278.014;98.745.139
Despicable Me 2;Jul;3;2013;76;368.065.385;975.216.835
Harry Potter and the Sorcerer’s Stone;Nov;16;2001;125;31.757.555;974.755.371
The Jungle Book;Apr;15;2016;175;364.001.123;963.901.123
Pirates of the Caribbean: At World’s End;May;24;2007;300;309.420.425;963.420.425
The Hobbit: The Desolation of Smaug;Dec;13;2013;250;258.366.855;960.366.855
Harry Potter and the Deathly Hallows: Part I;Nov;19;2010;125;295.983.305;960.283.305
The Hobbit: The Battle of the Five Armies;Dec;17;2014;250;255.119.788;955.119.788
Black Panther;Feb;16;2018;200;530.851.601;944.951.601
Harry Potter and the Order of the Phoenix;Jul;11;2007;150;292.004.738;942.943.935
Shrek 2;May;19;2004;70;441.226.247;937.008.132
Finding Nemo;May;30;2003;94;38.052.937;93.642.937
Harry Potter and the Half-Blood Prince;Jul;15;2009;250;301.959.197;935.083.686
The Lord of the Rings: The Two Towers;Dec;18;2002;94;342.548.984;934.699.645
Jumanji: Welcome to the Jungle;Dec;20;2017;90;395.168.021;931.369.459
Harry Potter and the Goblet of Fire;Nov;18;2005;150;290.013.036;896.911.078
Spider-Man 3;May;4;2007;258;336.530.303;89.486.023
The Lord of the Rings: The Fellowship of the Ring;Dec;19;2001;109;31.554.475;887.210.985
Spider-Man: Homecoming;Jul;7;2017;175;33.420.114;880.206.511
Ice Age: Continental Drift;Jul;13;2012;95;161.321.843;879.765.137
Spectre;Nov;6;2015;300;200.074.175;879.620.923
Harry Potter and the Chamber of Secrets;Nov;15;2002;100;26.198.788;878.979.634
The Secret Life of Pets;Jul;8;2016;75;36.838.433;875.952.759
Batman v Superman: Dawn of Justice;Mar;25;2016;250;330.360.194;868.160.194
The Hunger Games: Catching Fire;Nov;22;2013;130;424.668.047;864.868.047
Guardians of the Galaxy Vol 2;May;5;2017;200;389.813.101;863.197.744
Ice Age: Dawn of the Dinosaurs;Jul;1;2009;90;196.573.705;859.701.857
Inside Out;Jun;19;2015;175;356.461.711;853.707.581
Thor: Ragnarok;Nov;3;2017;180;315.003.103;850.598.226
Star Wars Ep. III: Revenge of the Sith;May;19;2005;115;380.270.577;848.998.877
Transformers: Revenge of the Fallen;Jun;24;2009;210;40.211.187;836.519.699
Inception;Jul;16;2010;160;292.576.195;832.402.082
The Twilight Saga: Breaking Dawn, Part 2;Nov;16;2012;136.2;292.324.737;829.724.737
Spider-Man;May;3;2002;139;403.706.375;821.706.375
Independence Day;Jul;2;1996;75;306.169.255;817.400.878
Wonder Woman;Jun;2;2017;150;412.563.408;817.012.815
Shrek the Third;May;17;2007;160;322.719.944;807.330.936
Fantastic Beasts and Where to Find Them;Nov;18;2016;180;234.037.575;803.798.342
Deadpool;Feb;12;2016;58;363.070.709;801.029.249
Harry Potter and the Prisoner of Azkaban;Jun;4;2004;130;249.538.952;796.688.549
Spider-Man 2;Jun;30;2004;200;373.524.485;79.511.067
Pirates of the Caribbean: Dead Men Tell No Tales;May;26;2017;230;172.558.876;794.758.876
ET: The Extra-Terrestrial;Jun;11;1982;10.May;435.110.554;792.965.326
Fast and Furious 6;May;24;2013;160;23.867.985;789.300.444
2012;Nov;13;2009;200;166.112.167;788.408.539
Indiana Jones and the Kingdom of the Crystal Skull;May;22;2008;185;317.101.119;786.635.413
Star Wars Ep. IV: A New Hope;May;25;1977;11;460.998.007;786.598.007
Guardians of the Galaxy;Aug;1;2014;170;333.172.112;771.051.335
The Da Vinci Code;May;19;2006;125;217.536.138;767.820.459
The Hunger Games: Mockingjay - Part 1;Nov;21;2014;125;337.135.885;766.652.288
Maleficent;May;30;2014;180;241.407.328;758.536.735
The Amazing Spider-Man;Jul;3;2012;220;262.030.663;757.890.267
Shrek Forever After;May;21;2010;165;238.736.787;756.244.673
X-Men: Days of Future Past;May;23;2014;200;233.921.534;747.862.775
Madagascar 3: Europe's Most Wanted;Jun;8;2012;145;216.391.482;746.921.271
Suicide Squad;Aug;5;2016;175;325.100.054;746.100.054
Monsters University;Jun;21;2013;200;268.488.329;743.588.329
Coco;Nov;22;2017;175;208.643.333;738.986.156
The Matrix Reloaded;May;15;2003;150;281.553.689;738.576.929
Up;May;29;2009;175;293.004.164;731.463.377
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Dec;9;2005;180;291.710.957;720.539.572
Captain America: The Winter Soldier;Apr;4;2014;170;259.746.958;714.401.889
Dawn of the Planet of the Apes;Jul;11;2014;170;208.545.589;710.644.566
The Amazing Spider-Man 2;May;2;2014;200;202.853.933;708.996.336
Transformers;Jul;2;2007;151;319.246.193;708.272.592
The Twilight Saga: Eclipse;Jun;30;2010;68;300.531.751;706.102.828
Mission: Impossible—Rogue Nation;Jul;31;2015;150;195.042.377;700.868.363
It;Sep;8;2017;35;327.481.748;697.459.228
Gravity;Oct;4;2013;110;274.092.705;695.941.797
Mission: Impossible—Ghost Protocol;Dec;16;2011;145;209.397.903;69.471.323
The Twilight Saga: Breaking Dawn, Part 1;Nov;18;2011;127.5;281.287.133;689.420.051
Forrest Gump;Jul;6;1994;55;330.151.138;679.850.637
Forrest Gump;Jul;6;1994;55;330.151.138;679.850.637
The Hunger Games;Mar;23;2012;80;408.010.692;677.923.379
Doctor Strange;Nov;4;2016;165;23.264.192;67.754.192
The Sixth Sense;Aug;6;1999;40;293.506.292;672.806.292
Man of Steel;Jun;14;2013;225;291.045.518;667.999.518
Interstellar;Nov;5;2014;165;188.017.894;667.752.422
Kung Fu Panda 2;May;26;2011;150;165.249.063;664.837.547
The Martian;Oct;2;2015;108;228.433.663;663.851.905
Star Wars Ep. II: Attack of the Clones;May;16;2002;115;31.067.674;656.695.615
Justice League;Nov;17;2017;300;228.977.297;655.906.448
Men in Black 3;May;25;2012;215;179.020.854;654.213.485
Big Hero 6;Nov;7;2014;165;222.527.828;652.127.828
Ice Age: The Meltdown;Mar;31;2006;75;195.330.621;651.899.282
The Hunger Games: Mockingjay - Part 2;Nov;20;2015;160;281.723.902;650.523.427
Thor: The Dark World;Nov;8;2013;150;20.636.214;644.602.516
Moana;Nov;23;2016;150;248.757.044;639.537.208
Pirates of the Caribbean: The Curse of the Black Pearl;Jul;9;2003;140;305.411.224;634.954.103
Sing;Dec;21;2016;75;270.329.045;63.428.774
Kung Fu Panda;Jun;6;2008;130;215.434.591;631.910.531
Fast Five;Apr;29;2011;125;210.031.325;630.163.454
Ratatouille;Jun;29;2007;150;206.445.654;626.549.695
Hancock;Jul;1;2008;150;227.946.274;624.234.272
The Passion of the Christ;Feb;25;2004;25;37.078.293;622.341.924
Iron Man 2;May;7;2010;170;312.433.331;621.156.389
The Lost World: Jurassic Park;May;22;1997;75;229.086.679;618.638.999
Logan;Mar;3;2017;127;226.277.068;615.577.068
The Incredibles;Nov;5;2004;92;261.441.092;614.726.752
How to Train Your Dragon 2;Jun;13;2014;145;177.002.924;61.458.627
Life of Pi;Nov;21;2012;120;124.987.022;607.987.022
War of the Worlds;Jun;29;2005;132;234.280.354;606.836.535
Transformers: The Last Knight;Jun;21;2017;217;130.168.683;603.968.683
Madagascar: Escape 2 Africa;Nov;7;2008;150;18.017.488;599.680.774
Casino Royale;Nov;17;2006;102;167.365;594.420.283
Quantum of Solace;Nov;14;2008;230;169.368.427;591.692.078
Men in Black;Jul;1;1997;90;250.690.539;587.790.539
Tangled;Nov;24;2010;260;200.821.936;58.647.724
The Hangover Part II;May;26;2011;80;254.464.305;586.464.305
I am Legend;Dec;14;2007;150;25.639.301;585.532.684
Iron Man;May;2;2008;186;318.604.126;585.171.547
Night at the Museum;Dec;22;2006;110;250.863.268;579.446.407
The Croods;Mar;22;2013;135;187.168.425;573.068.425
Star Wars Ep. VI: Return of the Jedi;May;25;1983;32.5;309.205.079;572.705.079
Fifty Shades of Grey;Feb;13;2015;40;16.616.723;570.998.101
The Smurfs;Jul;29;2011;110;142.614.158;563.749.323
Kong: Skull Island;Mar;10;2017;185;168.052.812;561.137.727
Cars 2;Jun;24;2011;200;191.450.875;560.155.383
Monsters, Inc.;Nov;2;2001;115;289.423.425;559.757.719
Madagascar;May;27;2005;75;193.595.521;556.559.566
The Day After Tomorrow;May;28;2004;125;186.740.799;55.631.945
Puss in Boots;Oct;28;2011;130;149.260.504;554.987.477
Brave;Jun;22;2012;185;237.282.182;554.606.532
Armageddon;Jul;1;1998;140;201.578.182;554.6
Mei Ren Yu;Feb;19;2016;60.72;3.229.457;552.198.479
King Kong;Dec;14;2005;207;218.080.025;550.517.357
Mission: Impossible 2;May;24;2000;120;215.409.889;549.588.516
American Sniper;Dec;25;2014;58;350.126.372;547.326.372
Despicable Me;Jul;9;2010;69;251.513.985;543.495.033
X-Men: Apocalypse;May;27;2016;178;155.442.489;542.742.489
Sherlock Holmes: A Game of Shadows;Dec;16;2011;125;186.848.418;535.663.443
Cinderella;Mar;13;2015;95;201.151.353;534.551.353
Star Wars Ep. V: The Empire Strikes Back;May;21;1980;23;29.027.196;53.417.196
The Revenant;Dec;25;2015;135;183.637.894;532.950.503
WALL-E;Jun;27;2008;180;223.808.164;532.508.025
World War Z;Jun;21;2013;190;202.359.711;53.151.465
Godzilla;May;16;2014;160;200.676.069;529.076.069
The Simpsons Movie;Jul;27;2007;72.5;183.135.014;527.071.022
Ant-Man;Jul;17;2015;130;180.202.163;519.338.048
Kung Fu Panda 3;Jan;29;2016;140;143.528.619;518.614.383
Ghost;Jul;13;1990;22;217.631.306;517.6
Meet the Fockers;Dec;22;2004;60;279.167.575;516.567.575
Terminator 2: Judgment Day;Jul;2;1991;100;203.464.105;515.419.827
Toy Story 2;Nov;19;1999;90;245.852.179;511.358.276
Aladdin;Nov;11;1992;28;217.350.219;504.050.219
Dunkirk;Jul;21;2017;150;188.373.161;499.518.504
Sherlock Holmes;Dec;25;2009;90;209.028.679;498.438.212
Wreck-It Ralph;Nov;2;2012;165;189.412.677;496.511.521
Twister;May;10;1996;88;241.688.385;495.7
How to Train Your Dragon;Mar;26;2010;165;217.581.232;494.870.992
Clash of the Titans;Apr;1;2010;125;163.214.888;493.214.888
Rio 2;Apr;11;2014;130;131.538.435;492.846.291
The Boss Baby;Mar;31;2017;125;175.003.033;492.317.334
Angels & Demons;May;15;2009;150;133.375.846;490.875.846
Oz the Great and Powerful;Mar;8;2013;200;234.770.996;490.359.051
War for the Planet of the Apes;Jul;14;2017;152;146.880.162;490.280.162
Rio;Apr;15;2011;90;143.619.809;487.519.809
Mr. and Mrs. Smith;Jun;10;2005;110;186.336.279;48.612.409
Saving Private Ryan;Jul;24;1998;65;216.335.085;485.035.085
Teenage Mutant Ninja Turtles;Aug;8;2014;125;191.204.754;485.004.754
Les Intouchables;May;25;2012;10.Ağu;13.182.281;484.873.045
Bruce Almighty;May;23;2003;81;242.704.995;484.468.608
Troy;May;14;2004;150;133.298.577;484.161.265
Rise of the Planet of the Apes;Aug;5;2011;93;176.760.185;482.860.185
Home Alone;Nov;16;1990;15;285.761.243;476.684.675
Charlie and the Chocolate Factory;Jul;15;2005;150;206.459.076;475.825.484
Indiana Jones and the Last Crusade;May;24;1989;48;197.171.806;474.171.806
Hotel Transylvania 2;Sep;25;2015;80;16.970.011;470.751.398
Jaws;Jun;20;1975;12;260;470.7
Star Trek Into Darkness;May;16;2013;190;228.778.661;467.381.584
San Andreas;May;29;2015;110;155.190.832;46.715.116
