averageRating,vote_average,numVotes,vote_count,budget,revenue,runtime,genres,original_language,title,release_year
8.8,8.364,2767665,34495,160000000,825532764,148,"Action, Science Fiction, Adventure",en,Inception,2010.0
8.7,8.417,2453389,32571,165000000,701729206,169,"Adventure, Drama, Science Fiction",en,Interstellar,2014.0
9.1,8.512,3114183,30619,185000000,1004558444,152,"Drama, Action, Crime, Thriller",en,The Dark Knight,2008.0
7.9,7.573,1468944,29815,237000000,2923706026,162,"Action, Adventure, Fantasy, Science Fiction",en,Avatar,2009.0
8.0,7.71,1538593,29166,220000000,1518815515,143,"Science Fiction, Action, Adventure",en,The Avengers,2012.0
8.0,7.606,1236122,28894,58000000,783100000,108,"Action, Adventure, Comedy",en,Deadpool,2016.0
8.4,8.255,1341613,27713,300000000,2052415039,149,"Adventure, Action, Science Fiction",en,Avengers: Infinity War,2018.0
8.8,8.438,2553278,27238,63000000,100853753,139,Drama,en,Fight Club,1999.0
8.0,7.906,1346011,26638,170000000,772776600,121,"Action, Science Fiction, Adventure",en,Guardians of the Galaxy,2014.0
8.8,8.488,2398086,25893,8500000,213900000,154,"Thriller, Crime",en,Pulp Fiction,1994.0
8.8,8.477,2453594,25409,55000000,677387716,142,"Comedy, Drama, Romance",en,Forrest Gump,1994.0
7.7,7.916,934231,25379,125000000,976475550,152,"Adventure, Fantasy",en,Harry Potter and the Philosopher's Stone,2001.0
7.9,7.64,1204968,24874,140000000,585174222,126,"Action, Science Fiction, Adventure",en,Iron Man,2008.0
8.5,8.171,1850242,24672,100000000,425368238,165,"Drama, Western",en,Django Unchained,2012.0
9.3,8.702,3138011,24649,25000000,28341469,142,"Drama, Crime",en,The Shawshank Redemption,1994.0
8.4,8.263,1413670,23857,356000000,2800000000,181,"Adventure, Science Fiction, Action",en,Avengers: Endgame,2019.0
8.7,8.206,2214847,23815,63000000,463517383,136,"Action, Science Fiction",en,The Matrix,1999.0
7.9,7.9,1371399,23637,200000000,2264162353,194,"Drama, Romance",en,Titanic,1997.0
8.3,8.168,1662151,23425,55000000,1074458282,122,"Crime, Thriller, Drama",en,Joker,2019.0
8.9,8.402,2169025,23323,93000000,871368364,179,"Adventure, Fantasy, Action",en,The Lord of the Rings: The Fellowship of the Ring,2001.0
9.0,8.474,2131274,22334,94000000,1118888979,201,"Adventure, Fantasy, Action",en,The Lord of the Rings: The Return of the King,2003.0
8.2,8.2,1607996,22318,80000000,294800000,138,"Drama, Thriller, Mystery",en,Shutter Island,2010.0
8.2,8.035,1747170,22222,100000000,392000000,180,"Crime, Drama, Comedy",en,The Wolf of Wall Street,2013.0
7.3,7.276,985131,21754,365000000,1405403694,141,"Action, Adventure, Science Fiction",en,Avengers: Age of Ultron,2015.0
7.8,7.4,913405,21541,250000000,1155046416,147,"Adventure, Action, Science Fiction",en,Captain America: Civil War,2016.0
8.4,7.777,1964816,21335,250000000,1081041287,165,"Action, Crime, Drama, Thriller",en,The Dark Knight Rises,2012.0
7.1,6.928,952814,21064,200000000,1215577205,130,"Action, Adventure, Science Fiction",en,Iron Man 3,2013.0
7.3,7.39,897269,21053,200000000,1349926083,135,"Action, Adventure, Science Fiction",en,Black Panther,2018.0
7.5,7.427,867282,20935,180000000,676343174,115,"Action, Adventure, Fantasy",en,Doctor Strange,2016.0
8.1,7.582,1192766,20911,150000000,378858340,121,"Action, Adventure, Science Fiction",en,Mad Max: Fury Road,2015.0
8.4,8.215,1747427,20746,70000000,321457747,153,"Drama, Thriller, War",en,Inglourious Basterds,2009.0
7.2,7.193,1067120,20636,75000000,694394724,142,"Science Fiction, Adventure, Fantasy",en,The Hunger Games,2012.0
7.4,7.345,782315,20507,175000000,880166924,133,"Action, Adventure, Science Fiction, Drama",en,Spider-Man: Homecoming,2017.0
7.5,7.721,753050,20390,100000000,876688482,161,"Adventure, Fantasy",en,Harry Potter and the Chamber of Secrets,2002.0
7.6,7.624,816495,20353,200000000,863756051,137,"Science Fiction, Adventure, Action",en,Guardians of the Galaxy Vol. 2,2017.0
8.8,8.385,1925080,20274,79000000,926287400,179,"Adventure, Fantasy, Action",en,The Lord of the Rings: The Two Towers,2002.0
6.9,6.995,954648,20269,140000000,370569774,124,"Action, Adventure, Science Fiction",en,Captain America: The First Avenger,2011.0
5.9,5.909,753255,20097,175000000,746846894,123,"Action, Adventure, Fantasy",en,Suicide Squad,2016.0
7.9,8.02,753282,20038,130000000,789804554,141,"Adventure, Fantasy",en,Harry Potter and the Prisoner of Azkaban,2004.0
7.0,6.768,953919,20023,150000000,449326618,115,"Adventure, Fantasy, Action",en,Thor,2011.0
6.9,6.835,924693,19756,200000000,623933331,124,"Adventure, Action, Science Fiction",en,Iron Man 2,2010.0
8.2,7.701,1688653,19561,150000000,374218673,140,"Action, Crime, Drama",en,Batman Begins,2005.0
7.9,7.595,880438,19539,180000000,855301806,131,"Action, Adventure, Science Fiction",en,Thor: Ragnarok,2017.0
